p_x,p_y,p_z,v_x,v_y,v_z,r11,r12,r13,r21,r22,r23,r31,r32,r33
0,0,0.999999,0,0,-0.00490333,1,0,0,0,1,0,0,0,1
2.39066e-12,1.72004e-14,0.999995,2.03711e-09,1.46567e-11,-0.00980664,1,2.66263e-17,1.49621e-13,-2.66263e-17,1,1.06023e-15,-1.49621e-13,-1.06023e-15,1
-1.56141e-07,-4.32296e-09,0.999988,-9.30029e-05,-2.56352e-06,-0.0155785,1,-1.87938e-12,-7.32374e-09,1.87938e-12,1,-2.198e-10,7.32374e-09,2.198e-10,1
-2.02643e-07,-5.60472e-09,0.999979,-9.30029e-05,-2.56352e-06,-0.0204818,1,-1.25293e-12,-7.32798e-09,1.25293e-12,1,-2.19288e-10,7.32798e-09,2.19288e-10,1
7.14722e-07,-2.15699e-06,0.999968,0.00376246,-0.00860297,-0.0235477,1,-4.79649e-07,-9.67283e-06,4.79696e-07,1,4.85743e-06,9.67283e-06,-4.85744e-06,1
3.55981e-06,-8.60857e-06,0.999955,0.00761791,-0.0172034,-0.0266135,1,-9.59249e-07,-1.93383e-05,9.59437e-07,1,9.71508e-06,1.93383e-05,-9.7151e-06,1
8.33263e-06,-1.93603e-05,0.999941,0.0114733,-0.0258037,-0.0296792,1,-1.4388e-06,-2.90038e-05,1.43923e-06,1,1.45727e-05,2.90038e-05,-1.45728e-05,1
1.38935e-05,-3.05878e-05,0.999925,0.0107703,-0.0191061,-0.0348339,1,-2.63773e-06,-4.41181e-05,2.63859e-06,1,1.95503e-05,4.41181e-05,-1.95504e-05,1
1.9103e-05,-3.84665e-05,0.999906,0.0100673,-0.0124086,-0.0399886,1,-3.83658e-06,-5.92324e-05,3.83803e-06,1,2.45278e-05,5.92323e-05,-2.4528e-05,1
2.39007e-05,-4.4688e-05,0.999885,0.00912349,-0.0124775,-0.0459267,1,-5.90173e-06,-7.92686e-05,5.90293e-06,1,1.51264e-05,7.92685e-05,-1.51269e-05,1
2.82265e-05,-5.0944e-05,0.99986,0.00817966,-0.0125465,-0.0518648,1,-7.96706e-06,-9.93047e-05,7.96763e-06,1,5.72498e-06,9.93047e-05,-5.72577e-06,1
3.20803e-05,-5.72345e-05,0.999833,0.00723587,-0.0126155,-0.0578029,1,-1.00326e-05,-0.000119341,1.00321e-05,1,-3.6765e-06,0.000119341,3.6753e-06,1
3.54107e-05,-6.35593e-05,0.999802,0.00608571,-0.0126837,-0.0640007,1,-1.36848e-05,-0.000144338,1.3683e-05,1,-1.21882e-05,0.000144338,1.21862e-05,1
3.81661e-05,-6.99182e-05,0.999769,0.0049356,-0.012752,-0.0701987,1,-1.73372e-05,-0.000169335,1.73337e-05,1,-2.06999e-05,0.000169335,2.0697e-05,1
4.03138e-05,-7.63103e-05,0.999732,0.00365551,-0.0128162,-0.0766297,1,-2.31082e-05,-0.000202783,2.31025e-05,1,-2.80608e-05,0.000202784,2.80562e-05,1
4.18216e-05,-8.27344e-05,0.999692,0.00237549,-0.0128804,-0.0830607,1,-2.88794e-05,-0.000236231,2.88711e-05,1,-3.54219e-05,0.000236232,3.54151e-05,1
4.26893e-05,-8.91907e-05,0.999649,0.00109551,-0.0129446,-0.0894918,1,-3.46509e-05,-0.000269679,3.46394e-05,1,-4.27832e-05,0.000269681,4.27739e-05,1
4.29297e-05,-9.56782e-05,0.999603,-0.000134082,-0.0130056,-0.0959587,1,-4.16407e-05,-0.000308668,4.16254e-05,1,-4.95164e-05,0.00030867,4.95035e-05,1
4.25553e-05,-0.000102196,0.999553,-0.00136361,-0.0130665,-0.102426,1,-4.86307e-05,-0.000347657,4.86111e-05,1,-5.62498e-05,0.00034766,5.62329e-05,1
4.16308e-05,-0.000108743,0.9995,-0.0023343,-0.0131196,-0.108776,1,-5.71203e-05,-0.000393589,5.70958e-05,1,-6.22865e-05,0.000393593,6.2264e-05,1
4.0221e-05,-0.000115316,0.999444,-0.00330492,-0.0131727,-0.115127,1,-6.56102e-05,-0.000439521,6.55802e-05,1,-6.83236e-05,0.000439525,6.82947e-05,1
3.83259e-05,-0.000121915,0.999385,-0.00427548,-0.0132258,-0.121477,1,-7.41004e-05,-0.000485452,7.40643e-05,1,-7.4361e-05,0.000485458,7.43251e-05,1
3.60117e-05,-0.00012854,0.999323,-0.00498101,-0.0132745,-0.127656,1,-8.33901e-05,-0.000534445,8.33473e-05,1,-8.0092e-05,0.000534452,8.00474e-05,1
3.33449e-05,-0.00013519,0.999257,-0.00568648,-0.0133232,-0.133835,1,-9.268e-05,-0.000583438,9.26299e-05,1,-8.58234e-05,0.000583446,8.57694e-05,1
3.04478e-05,-0.000141863,0.999189,-0.00590183,-0.0133672,-0.139646,1,-0.00010288,-0.00063403,0.000102823,1,-9.13038e-05,0.000634039,9.12386e-05,1
2.7443e-05,-0.000148557,0.999118,-0.00611714,-0.0134112,-0.145457,1,-0.000113081,-0.000684622,0.000113015,1,-9.67847e-05,0.000684633,9.67073e-05,1
2.43306e-05,-0.000155274,0.999044,-0.0063324,-0.0134552,-0.151268,1,-0.000123282,-0.000735213,0.000123207,1,-0.000102266,0.000735226,0.000102175,1
2.11961e-05,-0.000162012,0.998967,-0.00620563,-0.0134976,-0.156795,1,-0.000133954,-0.000784644,0.00013387,1,-0.000107682,0.000784659,0.000107577,1
1.8125e-05,-0.000168771,0.998887,-0.00607882,-0.01354,-0.162322,1,-0.000144627,-0.000834075,0.000144533,1,-0.000113098,0.000834092,0.000112977,1
1.52367e-05,-0.000175552,0.998804,-0.00547451,-0.0135836,-0.167412,1,-0.000155855,-0.000878659,0.000155751,1,-0.000118514,0.000878678,0.000118377,1
1.26505e-05,-0.000182355,0.998719,-0.0048702,-0.0136272,-0.172503,1,-0.000167082,-0.000923243,0.000166968,1,-0.000123932,0.000923264,0.000123777,1
1.03665e-05,-0.000189179,0.998632,-0.00426587,-0.0136707,-0.177593,1,-0.00017831,-0.000967827,0.000178185,1,-0.000129349,0.00096785,0.000129177,1
8.44637e-06,-0.000196026,0.998542,-0.00341464,-0.0137163,-0.182422,0.999999,-0.000189867,-0.00100737,0.000189731,1,-0.000134783,0.0010074,0.000134591,0.999999
6.95186e-06,-0.000202896,0.998449,-0.00256341,-0.0137618,-0.187252,0.999999,-0.000201423,-0.00104692,0.000201276,1,-0.000140216,0.00104695,0.000140006,0.999999
5.93963e-06,-0.00020979,0.998355,-0.00148551,-0.013814,-0.191772,0.999999,-0.000213477,-0.00107721,0.00021332,1,-0.000145638,0.00107725,0.000145408,0.999999
5.46635e-06,-0.00021671,0.998258,-0.000407613,-0.0138662,-0.196292,0.999999,-0.000225531,-0.00110751,0.000225364,1,-0.000151059,0.00110754,0.000150809,0.999999
5.53202e-06,-0.000223656,0.998158,0.00067027,-0.0139184,-0.200812,0.999999,-0.000237586,-0.0011378,0.000237408,1,-0.000156481,0.00113784,0.000156211,0.999999
6.14709e-06,-0.000230629,0.998057,0.00179002,-0.0139758,-0.205197,0.999999,-0.000250029,-0.00116137,0.000249842,1,-0.000161823,0.00116142,0.000161533,0.999999
7.32204e-06,-0.000237632,0.997953,0.00290976,-0.0140331,-0.209583,0.999999,-0.000262473,-0.00118495,0.000262275,1,-0.000167166,0.001185,0.000166855,0.999999
9.02838e-06,-0.000244664,0.997847,0.00391563,-0.0140972,-0.213888,0.999999,-0.000275596,-0.00119896,0.000275389,1,-0.000172269,0.00119901,0.000171939,0.999999
1.12377e-05,-0.000251729,0.997739,0.00492149,-0.0141612,-0.218193,0.999999,-0.000288719,-0.00121297,0.000288504,1,-0.000177373,0.00121302,0.000177023,0.999999
1.39499e-05,-0.000258825,0.997629,0.00592734,-0.0142253,-0.222498,0.999999,-0.000301841,-0.00122698,0.000301618,1,-0.000182476,0.00122704,0.000182106,0.999999
1.71212e-05,-0.000265955,0.997517,0.00675782,-0.0142939,-0.226822,0.999999,-0.000315502,-0.00123556,0.000315271,1,-0.00018733,0.00123562,0.00018694,0.999999
2.07077e-05,-0.000273119,0.997402,0.0075883,-0.0143625,-0.231147,0.999999,-0.000329163,-0.00124414,0.000328924,1,-0.000192184,0.0012442,0.000191774,0.999999
2.46135e-05,-0.000280319,0.997286,0.00803493,-0.0144377,-0.235595,0.999999,-0.00034375,-0.00124699,0.000343505,1,-0.000196536,0.00124705,0.000196108,0.999999
2.87426e-05,-0.000287557,0.997167,0.00848155,-0.0145129,-0.240043,0.999999,-0.000358337,-0.00124983,0.000358086,1,-0.000200889,0.0012499,0.000200441,0.999999
3.30951e-05,-0.000294832,0.997046,0.00892817,-0.0145881,-0.244491,0.999999,-0.000372924,-0.00125268,0.000372668,1,-0.000205242,0.00125276,0.000204775,0.999999
3.75959e-05,-0.000302146,0.996922,0.00907508,-0.0146659,-0.249059,0.999999,-0.000388182,-0.00125368,0.000387921,1,-0.000209204,0.00125376,0.000208718,0.999999
4.21701e-05,-0.000309498,0.996797,0.00922198,-0.0147436,-0.253627,0.999999,-0.000403441,-0.00125468,0.000403173,1,-0.000213167,0.00125477,0.000212661,0.999999
4.67027e-05,-0.000316889,0.996669,0.00890836,-0.0148203,-0.258397,0.999999,-0.000419724,-0.0012561,0.000419453,1,-0.000216514,0.00125619,0.000215987,0.999999
5.10785e-05,-0.000324318,0.996538,0.00859474,-0.0148969,-0.263166,0.999999,-0.000436008,-0.00125752,0.000435732,1,-0.000219862,0.00125762,0.000219313,0.999999
5.52975e-05,-0.000331786,0.996405,0.00828113,-0.0149735,-0.267935,0.999999,-0.000452292,-0.00125894,0.000452011,1,-0.000223209,0.00125904,0.00022264,0.999999
5.92914e-05,-0.000339291,0.99627,0.00769447,-0.0150479,-0.272824,0.999999,-0.00046925,-0.00126268,0.000468964,1,-0.000226164,0.00126278,0.000225572,0.999999
6.29919e-05,-0.000346834,0.996133,0.0071078,-0.0151223,-0.277713,0.999999,-0.000486208,-0.00126641,0.000485918,1,-0.000229119,0.00126653,0.000228503,0.999999
6.63215e-05,-0.000354411,0.995992,0.0062104,-0.0151881,-0.282728,0.999999,-0.000504057,-0.00127613,0.000503762,1,-0.000231593,0.00127625,0.000230949,0.999999
6.92023e-05,-0.000362022,0.99585,0.00531299,-0.015254,-0.287742,0.999999,-0.000521907,-0.00128585,0.000521606,1,-0.000234066,0.00128597,0.000233395,0.999999
7.16345e-05,-0.000369665,0.995705,0.00441559,-0.0153199,-0.292756,0.999999,-0.000539756,-0.00129556,0.00053945,1,-0.00023654,0.00129569,0.000235841,0.999999
7.35887e-05,-0.00037734,0.995557,0.00340134,-0.0153782,-0.297801,0.999999,-0.000558095,-0.00131044,0.000557782,1,-0.0002388,0.00131058,0.000238069,0.999999
7.50358e-05,-0.000385044,0.995407,0.0023871,-0.0154366,-0.302847,0.999999,-0.000576433,-0.00132532,0.000576114,1,-0.000241059,0.00132546,0.000240296,0.999999
7.59734e-05,-0.000392774,0.995254,0.00136333,-0.0154833,-0.307841,0.999999,-0.000595278,-0.00134868,0.000594951,1,-0.000243217,0.00134883,0.000242414,0.999999
7.63991e-05,-0.000400527,0.995099,0.000339563,-0.01553,-0.312836,0.999999,-0.000614123,-0.00137204,0.000613787,1,-0.000245374,0.00137219,0.000244532,0.999999
7.6313e-05,-0.000408304,0.994941,-0.000684199,-0.0155767,-0.317831,0.999999,-0.000632968,-0.0013954,0.000632623,1,-0.000247533,0.00139556,0.00024665,0.999999
7.57381e-05,-0.000416101,0.994781,-0.00161515,-0.0156134,-0.322734,0.999999,-0.000651993,-0.00142425,0.000651638,1,-0.00024978,0.00142442,0.000248852,0.999999
7.46978e-05,-0.000423917,0.994619,-0.00254611,-0.0156501,-0.327637,0.999999,-0.000671019,-0.0014531,0.000670653,1,-0.000252028,0.00145327,0.000251053,0.999999
7.32614e-05,-0.000431748,0.994454,-0.00319959,-0.0156754,-0.332325,0.999999,-0.000690054,-0.00148892,0.000689675,1,-0.000254662,0.00148909,0.000253635,0.999999
7.14982e-05,-0.000439592,0.994286,-0.00385307,-0.0157008,-0.337013,0.999999,-0.000709088,-0.00152474,0.000708697,1,-0.000257297,0.00152492,0.000256216,0.999999
6.94083e-05,-0.000447449,0.994117,-0.00450657,-0.0157261,-0.341702,0.999999,-0.000728123,-0.00156055,0.000727718,1,-0.000259933,0.00156074,0.000258797,0.999999
6.70564e-05,-0.000455317,0.993945,-0.00490098,-0.0157434,-0.346209,0.999998,-0.000747018,-0.00159964,0.000746598,1,-0.000262974,0.00159984,0.000261779,0.999999
6.45073e-05,-0.000463193,0.99377,-0.00529541,-0.0157607,-0.350716,0.999998,-0.000765912,-0.00163874,0.000765477,1,-0.000266015,0.00163894,0.00026476,0.999999
6.18685e-05,-0.000471075,0.993594,-0.00525994,-0.015771,-0.354941,0.999998,-0.000784392,-0.00168022,0.00078394,1,-0.000269857,0.00168043,0.00026854,0.999999
5.92474e-05,-0.000478964,0.993416,-0.0052245,-0.0157814,-0.359167,0.999998,-0.000802872,-0.00172171,0.000802402,1,-0.0002737,0.00172192,0.000272318,0.999998
5.6644e-05,-0.000486857,0.993235,-0.0051891,-0.0157917,-0.363392,0.999998,-0.000821352,-0.00176319,0.000820864,1,-0.000277544,0.00176342,0.000276096,0.999998
5.41309e-05,-0.000494755,0.993052,-0.00486324,-0.0157993,-0.367441,0.999998,-0.000839468,-0.00180441,0.00083896,1,-0.000282006,0.00180465,0.000280491,0.999998
5.17808e-05,-0.000502656,0.992867,-0.00453742,-0.0158068,-0.37149,0.999998,-0.000857583,-0.00184563,0.000857056,1,-0.000286468,0.00184588,0.000284885,0.999998
4.96887e-05,-0.000510561,0.992681,-0.00383061,-0.015812,-0.375334,0.999998,-0.000875083,-0.00188391,0.000874534,1,-0.000291911,0.00188416,0.000290262,0.999998
4.79501e-05,-0.000518468,0.992492,-0.00312385,-0.0158173,-0.379179,0.999998,-0.000892582,-0.00192219,0.000892012,1,-0.000297354,0.00192245,0.000295639,0.999998
4.65649e-05,-0.000526378,0.992302,-0.00241712,-0.0158225,-0.383023,0.999998,-0.000910082,-0.00196047,0.00090949,1,-0.000302799,0.00196074,0.000301015,0.999998
4.55818e-05,-0.000534291,0.992109,-0.0015154,-0.0158311,-0.386788,0.999998,-0.000927182,-0.00199528,0.000926567,1,-0.000308877,0.00199557,0.000307027,0.999998
4.50495e-05,-0.000542209,0.991915,-0.000613712,-0.0158397,-0.390553,0.999997,-0.000944282,-0.0020301,0.000943645,1,-0.000314956,0.00203039,0.000313039,0.999998
4.50088e-05,-0.000550133,0.991719,0.000451055,-0.0158538,-0.39431,0.999997,-0.000960839,-0.00205829,0.000960179,0.999999,-0.000321892,0.0020586,0.000319915,0.999998
4.55005e-05,-0.000558063,0.99152,0.00151579,-0.015868,-0.398067,0.999997,-0.000977397,-0.00208648,0.000976713,0.999999,-0.00032883,0.00208681,0.000326791,0.999998
4.65246e-05,-0.000566001,0.99132,0.00258049,-0.015882,-0.401824,0.999997,-0.000993954,-0.00211468,0.000993246,0.999999,-0.000335767,0.00211501,0.000333666,0.999998
4.80857e-05,-0.000573947,0.991119,0.00366386,-0.0159035,-0.405652,0.999997,-0.00101024,-0.00213797,0.00100951,0.999999,-0.000343166,0.00213831,0.000341007,0.999998
5.01885e-05,-0.000581904,0.990915,0.00474719,-0.0159248,-0.409479,0.999997,-0.00102653,-0.00216125,0.00102577,0.999999,-0.000350566,0.00216161,0.000348348,0.999998
5.28042e-05,-0.000589874,0.990709,0.00571561,-0.0159563,-0.413525,0.999997,-0.00104254,-0.00217742,0.00104176,0.999999,-0.000358452,0.00217779,0.000356183,0.999998
